[2024-11-23T01:43:44.692Z] Error tracking positions for linea 58: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.713Z] Error tracking positions for linea 1005: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.798Z] Error tracking positions for linea 31: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:44.895Z] Error tracking positions for linea 501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.334Z] Error tracking positions for linea 1006: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.566Z] Error tracking positions for linea 5: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.581Z] Error tracking positions for linea 54: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.638Z] Error tracking positions for linea 2: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.643Z] Error tracking positions for linea 1503: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.656Z] Error tracking positions for linea 56: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.690Z] Error tracking positions for linea 35: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.697Z] Error tracking positions for linea 28: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.705Z] Error tracking positions for linea 203: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.711Z] Error tracking positions for linea 1002: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.717Z] Error tracking positions for linea 128: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.721Z] Error tracking positions for linea 454: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.734Z] Error tracking positions for linea 23: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.787Z] Error tracking positions for linea 1501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.799Z] Error tracking positions for linea 1005: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.816Z] Error tracking positions for linea 233: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.823Z] Error tracking positions for linea 501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.832Z] Error tracking positions for linea 16501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.841Z] Error tracking positions for linea 34: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.847Z] Error tracking positions for linea 30: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.864Z] Error tracking positions for linea 96: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.868Z] Error tracking positions for linea 220: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.871Z] Error tracking positions for linea 1502: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.875Z] Error tracking positions for linea 110: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.881Z] Error tracking positions for linea 232: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.885Z] Error tracking positions for linea 38: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.887Z] Error tracking positions for linea 40: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:45.889Z] Error tracking positions for linea 49: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
